url,faq_count,has_exactly_5_faqs,placeholders,error
https://fyers.co.in/stocks/valiant-communications-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/mahasagar-travels-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/raghunath-international-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/rajeswari-infrastructure-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/spice-islands-apparels-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/shelter-infra-projects-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/shakti-press-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/ashirwad-steels-industries-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/arex-industries-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/isf-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/rishi-laser-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/jainco-projects-india-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/kumbhat-financial-services-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/intec-capital-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/siddheswari-garments-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/shikhar-consultants-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/indo-credit-capital-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/market-creators-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/himalaya-food-lnternational-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/sonal-adhesives-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/padmanabh-industries-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/hariyana-ship-breakers-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/arunis-abode-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/tyroon-tea-company-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/venus-remedies-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/woodsvilla-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/last-mile-enterprises-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/gujarat-craft-industries-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/heera-ispat-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/dhoot-industrial-finance-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/crimson-metal-engineering-comp,5,True,{search_term_string},
https://fyers.co.in/stocks/shree-pacetronix-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/mangalore-refinery-and-petrochemicals-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/samyak-international-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/aadi-industries-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/acknit-industries-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/titan-securities-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/vivanza-biosciences-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/yashraj-containeurs-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/lords-ishwar-hotels-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/selan-exploration-technology-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/ace-edutrend-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/anupam-finserv-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/raj-packaging-industries-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/natraj-proteins-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/samrat-pharmachem-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/npr-finance-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/amco-india-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/kreon-finnancial-services-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/gyan-developers-builders-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/kisan-mouldings-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/kerala-ayurveda-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/moongipa-capital-finance-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/mohit-paper-mills-ltd,5,True,{search_term_string},
https://fyers.co.in/stocks/daulat-securities-ltd,5,True,{search_term_string},
